num,num_in_list,name,profile,response,level_to_speach,level,classes_to_speach,class,min_class,max_class,prof_subject,stage
1,1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, финансовому рынку и защите прав потребителей финансовых услуг",финансовая грамотность,экономика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,экономика,отборочный и заключительный
2,2,«Наследники Левши»,физика,физика,третий,3,с седьмого по одиннадцатый,с 7 по 11,7,11,физика,первый отборочный и заключительный
3,3,"«Формула Единства», «Третье тысячелетие»",математика,математика,второй,2,с пятого по одиннадцатый,с 5 по 11,5,11,математика,отборочный и финал
4,3,"«Формула Единства», «Третье тысячелетие»",физика,физика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,физика,отборочный и финал
5,4,"XV Южно-Российская межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, живопись, композиция, черчение)","искусство, черчение",искусство,второй,2,с шестого по одиннадцатый,с 6 по 11,6,11,"рисунок, живопись, композиция, черчение","отборочный муниципальный, отборочный региональный и заключительный"
6,5,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,инструменты народного оркестра,музыка,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,искусство концертного исполнительства,заключительный
7,5,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,музыкальная педагогика и исполнительство,музыка,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,музыкознание и музыкально-прикладное искусство ,заключительный
8,5,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,струнные инструменты,музыка,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,искусство концертного исполнительства ,заключительный
9,5,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,теория и история музыки,музыка,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,"музыковедение, музыкознание  и музыкально-прикладное искусство",заключительный
10,5,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,хоровое дирижирование,музыка,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,дирижирование ,заключительный
11,6,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,автоматизация бизнеспроцессов,экономика,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,компьютерные и информационные науки,"первый отборочный, второй отборочный и заключительный"
12,6,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,автономные транспортные системы,информатика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,"математика и механика, компьютерные науки, радиотехника и системы связи, техника и технологии наземного транспорта","первый отборочный, второй отборочный и заключительный"
