num,num_in_list,name,profile,response,level,min_class,max_class,prof_subject,stage,link
1,1,"«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, финансовому рынку и защите прав потребителей финансовых услуг",финансовая грамотность,экономика,3,8,11,экономика,онлайн отборочный и финал,https://olimpiada.ru/activity/180
2,2,«Формула Единства» / «Третье тысячелетие»,иностранный язык,иностранный язык,3,5,11,иностранный язык,онлайн отборочный и финал,https://olimpiada.ru/activity/5618
3,2,«Формула Единства» / «Третье тысячелетие»,математика,математика,2,5,11,математика,онлайн отборочный и финал,https://olimpiada.ru/activity/223
4,2,«Формула Единства» / «Третье тысячелетие»,физика,физика,3,8,11,физика,онлайн отборочный и финал,https://olimpiada.ru/activity/5633
5,3,"XVI Южно-Российская межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, живопись, композиция, черчение)","искусство, черчение",искусство,1,6,11,"рисунок, живопись, композиция, черчение","онлайн отборочный муниципальный, онлайн отборочный региональный и заключительный",https://olimpiada.ru/activity/177
6,4,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,инструменты народного оркестра,музыка,2,9,11,искусство концертного исполнительства,заключительный,https://olimpiada.ru/activity/5034
7,4,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,музыкальная педагогика и исполнительство,музыка,2,9,11,музыкознание и музыкально-прикладное искусство ,заключительный,https://olimpiada.ru/activity/5354
8,4,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,струнные инструменты,музыка,2,9,11,искусство концертного исполнительства ,заключительный,https://olimpiada.ru/activity/5035
9,4,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,теория и история музыки,музыка,2,9,11,"музыковедение, музыкознание  и музыкально-прикладное искусство",заключительный,https://olimpiada.ru/activity/5033
10,4,Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей,хоровое дирижирование,музыка,2,9,11,дирижирование ,заключительный,https://olimpiada.ru/activity/5039
11,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,автоматизация бизнеспроцессов,экономика,2,8,11,компьютерные и информационные науки,"первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
12,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,автономные транспортные системы,информатика,3,8,11,"математика и механика, компьютерные науки, радиотехника и системы связи, техника и технологии наземного транспорта","первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
13,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,анализ космических снимков и геопространственных данных,астрономия,3,8,11,"науки о земле, информатика, техносферная безопасность и природообустройство, экономика и управление, сервис и туризм","первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
14,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,аэрокосмические системы,астрономия,3,8,11,"математика и механика, компьютерные науки, радиотехника и системы связи, техника и технологии наземного транспорта","первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
15,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,беспилотные авиационные системы,физика,2,8,11,"математика и механика, компьютерные науки, радиотехника и системы связи, техника и технологии наземного транспорта","первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
16,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,большие данные и машинное обучение,информатика,3,8,11,"компьютерные и информационные науки, информатика и вычислительная техника","первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
17,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,водные робототехнические системы,информатика,2,8,11,"математика и механика, компьютерные и информационные науки, радиотехника и системы связи, машиностроение","первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
18,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,геномное редактирование,биология,3,8,11,"химические технологии, промышленная экология и биотехнологии, техносферная безопасность и природообустройство","первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
19,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,инженерные биологические системы: агробиотехнологии,биология,2,8,11,"науки о земле, электро и теплоэнергетика, техносферная безопасность и природообустройство, сельское, лесное и рыбное хозяйство","первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
20,5,Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»,интеллектуальные робототехнические системы,информатика,2,8,11,"информатика и вычислительная техника, машиностроение, техника и технологии наземного транспорта","первый онлайн отборочный, второй онлайн отборочный и заключительный",https://olimpiada.ru/activity/5369
